2026-04-14 15:23:46 | START | Vehicle: 1861 | Direction: 4 | Location: {'lat': 49.22797, 'lon': 16.653402}
2026-04-14 15:35:33 | START | Jármű: 1861 | Vonal: 4 | Cél: Náměstí Míru
2026-04-14 16:03:12 | END   | Jármű: 1861 | Vonal: 4 | Cél: Náměstí Míru
2026-04-14 16:03:12 | START | Jármű: 1861 | Vonal: 4 | Cél: Obřany, Babická
2026-04-14 16:10:08 | START | Jármű: 1861 | Vonal: 4 | Cél: Obřany, Babická
2026-04-14 16:22:56 | START | Jármű: 1861 | Vonal: 4 | Cél: Obřany, Babická
2026-04-14 16:38:00 | END   | Jármű: 1861 | Vonal: 4 | Cél: Obřany, Babická
2026-04-14 16:38:00 | START | Jármű: 1861 | Vonal: 4 | Cél: Náměstí Míru
2026-04-14 17:29:13 | END   | Jármű: 1861 | Vonal: 4 | Cél: Náměstí Míru
2026-04-14 17:29:13 | START | Jármű: 1861 | Vonal: 4 | Cél: Obřany, Babická
2026-04-14 18:16:54 | END   | Jármű: 1861 | Vonal: 4 | Cél: Obřany, Babická
2026-04-14 18:16:54 | START | Jármű: 1861 | Vonal: 4 | Cél: ARENA BRNO
