2026-04-14 15:23:46 | START | Vehicle: 1923 | Direction: 9 | Location: {'lat': 49.191944, 'lon': 16.618546}
2026-04-14 15:35:33 | START | Jármű: 1923 | Vonal: 9 | Cél: Čertova rokle
2026-04-14 15:46:37 | END   | Jármű: 1923 | Vonal: 9 | Cél: Čertova rokle
2026-04-14 15:46:37 | START | Jármű: 1923 | Vonal: 9 | Cél: Juliánov
2026-04-14 16:10:08 | START | Jármű: 1923 | Vonal: 9 | Cél: Juliánov
2026-04-14 16:22:56 | START | Jármű: 1923 | Vonal: 9 | Cél: Juliánov
2026-04-14 16:32:59 | END   | Jármű: 1923 | Vonal: 9 | Cél: Juliánov
2026-04-14 16:32:59 | START | Jármű: 1923 | Vonal: 9 | Cél: Čertova rokle
2026-04-14 17:10:08 | END   | Jármű: 1923 | Vonal: 9 | Cél: Čertova rokle
2026-04-14 17:10:08 | START | Jármű: 1923 | Vonal: 9 | Cél: Juliánov
2026-04-14 17:59:20 | END   | Jármű: 1923 | Vonal: 9 | Cél: Juliánov
2026-04-14 17:59:20 | START | Jármű: 1923 | Vonal: 9 | Cél: Čertova rokle
