2026-04-14 15:23:46 | START | Vehicle: 30234 | Direction: R13 | Location: {'lat': 49.190464, 'lon': 16.612648}
2026-04-14 15:23:46 | START | Vehicle: 30212 | Direction: R13 | Location: {'lat': 49.190464, 'lon': 16.612648}
2026-04-14 15:35:33 | START | Jármű: 30234 | Vonal: R13 | Cél: Hlavní nádraží
2026-04-14 15:35:33 | START | Jármű: 30212 | Vonal: R13 | Cél: Staré Město u Uherského Hradiště
2026-04-14 15:46:07 | END   | Jármű: 30234 | Vonal: R13 | Cél: Hlavní nádraží
2026-04-14 16:10:08 | START | Jármű: 30212 | Vonal: R13 | Cél: Staré Město u Uherského Hradiště
2026-04-14 16:22:56 | START | Jármű: 30212 | Vonal: R13 | Cél: Staré Město u Uherského Hradiště
2026-04-14 16:58:35 | START | Jármű: 30031 | Vonal: R13 | Cél: Hlavní nádraží
2026-04-14 17:22:42 | END   | Jármű: 30212 | Vonal: R13 | Cél: Staré Město u Uherského Hradiště
