2026-04-14 15:23:46 | START | Vehicle: 21371 | Direction: 701 | Location: {'lat': 49.182205, 'lon': 16.690571}
2026-04-14 15:35:33 | START | Jármű: 21371 | Vonal: 701 | Cél: Pozořice, náměstí
2026-04-14 15:56:40 | END   | Jármű: 21371 | Vonal: 701 | Cél: Pozořice, náměstí
2026-04-14 15:56:40 | START | Jármű: 21371 | Vonal: 702 | Cél: Úzká
2026-04-14 16:08:13 | END   | Jármű: 21371 | Vonal: 702 | Cél: Úzká
2026-04-14 16:10:38 | START | Jármű: 21371 | Vonal: 702 | Cél: Úzká
2026-04-14 16:22:56 | START | Jármű: 21371 | Vonal: 702 | Cél: Úzká
2026-04-14 16:40:01 | END   | Jármű: 21371 | Vonal: 702 | Cél: Úzká
2026-04-14 16:40:01 | START | Jármű: 21371 | Vonal: 701 | Cél: Mokrá-Horákov, lom
2026-04-14 17:28:43 | END   | Jármű: 21371 | Vonal: 701 | Cél: Mokrá-Horákov, lom
