2026-04-14 15:23:46 | START | Vehicle: 1787 | Direction: 7 | Location: {'lat': 49.188622, 'lon': 16.607056}
2026-04-14 15:35:33 | START | Jármű: 1787 | Vonal: 7 | Cél: Starý Lískovec
2026-04-14 15:38:04 | END   | Jármű: 1787 | Vonal: 7 | Cél: Starý Lískovec
2026-04-14 15:38:04 | START | Jármű: 1787 | Vonal: 7 | Cél: Čertova rokle
2026-04-14 16:10:08 | START | Jármű: 1787 | Vonal: 7 | Cél: Čertova rokle
2026-04-14 16:18:40 | END   | Jármű: 1787 | Vonal: 7 | Cél: Čertova rokle
2026-04-14 16:18:40 | START | Jármű: 1787 | Vonal: 7 | Cél: Starý Lískovec
2026-04-14 16:22:56 | START | Jármű: 1787 | Vonal: 7 | Cél: Starý Lískovec
2026-04-14 16:58:05 | END   | Jármű: 1787 | Vonal: 7 | Cél: Starý Lískovec
2026-04-14 16:58:05 | START | Jármű: 1787 | Vonal: 7 | Cél: Zemědělská
2026-04-14 17:54:49 | END   | Jármű: 1787 | Vonal: 7 | Cél: Zemědělská
2026-04-14 17:54:49 | START | Jármű: 1787 | Vonal: 7 | Cél: Starý Lískovec
