2026-04-14 15:23:46 | START | Vehicle: 21431 | Direction: 571 | Location: {'lat': 48.754555, 'lon': 16.891926}
2026-04-14 15:35:33 | START | Jármű: 21431 | Vonal: 571 | Cél: Valtice, aut. st.
2026-04-14 15:45:36 | END   | Jármű: 21431 | Vonal: 571 | Cél: Valtice, aut. st.
2026-04-14 15:45:36 | START | Jármű: 21431 | Vonal: 571 | Cél: Břeclav, a.n.
2026-04-14 16:10:08 | START | Jármű: 21431 | Vonal: 571 | Cél: Břeclav, a.n.
2026-04-14 16:12:38 | END   | Jármű: 21431 | Vonal: 571 | Cél: Břeclav, a.n.
2026-04-14 16:12:38 | START | Jármű: 21431 | Vonal: 571 | Cél: Valtice, aut. st.
2026-04-14 16:22:56 | START | Jármű: 21431 | Vonal: 571 | Cél: Valtice, aut. st.
2026-04-14 16:44:32 | END   | Jármű: 21431 | Vonal: 571 | Cél: Valtice, aut. st.
2026-04-14 16:44:32 | START | Jármű: 21431 | Vonal: 571 | Cél: Břeclav, a.n.
2026-04-14 17:17:40 | END   | Jármű: 21431 | Vonal: 571 | Cél: Břeclav, a.n.
