2026-04-14 15:23:46 | START | Vehicle: 21981 | Direction: 640 | Location: {'lat': 49.125648, 'lon': 16.940201}
2026-04-14 15:35:33 | START | Jármű: 21981 | Vonal: 640 | Cél: Křižanovice, žel. st.
2026-04-14 15:37:04 | END   | Jármű: 21981 | Vonal: 640 | Cél: Křižanovice, žel. st.
2026-04-14 15:37:04 | START | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 15:53:09 | END   | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 15:53:09 | START | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 16:10:08 | START | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 16:13:09 | END   | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 16:13:09 | START | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 16:22:56 | START | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 16:42:01 | END   | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 16:42:01 | START | Jármű: 21981 | Vonal: 640 | Cél: Křižanovice, žel. st.
2026-04-14 17:02:06 | END   | Jármű: 21981 | Vonal: 640 | Cél: Křižanovice, žel. st.
2026-04-14 17:02:06 | START | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 17:09:08 | END   | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 17:09:08 | START | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 17:19:41 | END   | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 17:21:41 | START | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 17:41:46 | END   | Jármű: 21981 | Vonal: 640 | Cél: Bučovice, aut. st.
2026-04-14 17:41:46 | START | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 18:11:53 | END   | Jármű: 21981 | Vonal: 640 | Cél: Rašovice, škola
2026-04-14 18:11:53 | START | Jármű: 21981 | Vonal: 640 | Cél: Křižanovice, žel. st.
2026-04-14 18:22:56 | END   | Jármű: 21981 | Vonal: 640 | Cél: Křižanovice, žel. st.
