2026-04-14 15:23:46 | START | Vehicle: 21877 | Direction: 156 | Location: {'lat': 49.188019, 'lon': 17.013447}
2026-04-14 15:35:33 | START | Jármű: 21877 | Vonal: 156 | Cél: Vyškov, a.n.
2026-04-14 15:53:09 | END   | Jármű: 21877 | Vonal: 156 | Cél: Vyškov, a.n.
2026-04-14 15:53:09 | START | Jármű: 21877 | Vonal: 750 | Cél: Dědice, kasárna
2026-04-14 16:04:12 | END   | Jármű: 21877 | Vonal: 750 | Cél: Dědice, kasárna
2026-04-14 16:06:43 | START | Jármű: 21877 | Vonal: 750 | Cél: Dědice, kasárna
2026-04-14 16:10:08 | START | Jármű: 21877 | Vonal: 750 | Cél: Dědice, kasárna
2026-04-14 16:22:11 | END   | Jármű: 21877 | Vonal: 750 | Cél: Dědice, kasárna
2026-04-14 16:22:11 | START | Jármű: 21877 | Vonal: 750 | Cél: Vyškov, a.n.
2026-04-14 16:22:56 | START | Jármű: 21877 | Vonal: 750 | Cél: Vyškov, a.n.
2026-04-14 16:44:02 | END   | Jármű: 21877 | Vonal: 750 | Cél: Vyškov, a.n.
