2026-04-14 15:23:46 | START | Vehicle: 7704 | Direction: 66 | Location: {'lat': 49.222023, 'lon': 16.627775}
2026-04-14 15:35:33 | START | Jármű: 7704 | Vonal: 66 | Cél: Halasovo náměstí
2026-04-14 15:40:35 | END   | Jármű: 7704 | Vonal: 66 | Cél: Halasovo náměstí
2026-04-14 15:40:35 | START | Jármű: 7704 | Vonal: 57 | Cél: Lesná, Haškova
2026-04-14 15:47:07 | END   | Jármű: 7704 | Vonal: 57 | Cél: Lesná, Haškova
2026-04-14 15:47:07 | START | Jármű: 7704 | Vonal: 46 | Cél: Erbenova
2026-04-14 16:10:08 | START | Jármű: 7704 | Vonal: 46 | Cél: Erbenova
2026-04-14 16:21:11 | END   | Jármű: 7704 | Vonal: 46 | Cél: Erbenova
2026-04-14 16:21:11 | START | Jármű: 7704 | Vonal: 46 | Cél: Lesná, Haškova
2026-04-14 16:22:56 | START | Jármű: 7704 | Vonal: 46 | Cél: Lesná, Haškova
2026-04-14 16:37:30 | END   | Jármű: 7704 | Vonal: 46 | Cél: Lesná, Haškova
2026-04-14 16:37:30 | START | Jármű: 7704 | Vonal: 57 | Cél: Halasovo náměstí
2026-04-14 16:41:31 | END   | Jármű: 7704 | Vonal: 57 | Cél: Halasovo náměstí
2026-04-14 16:41:31 | START | Jármű: 7704 | Vonal: 66 | Cél: Lesná, Haškova
2026-04-14 16:50:03 | END   | Jármű: 7704 | Vonal: 66 | Cél: Lesná, Haškova
2026-04-14 16:50:03 | START | Jármű: 7704 | Vonal: 66 | Cél: Halasovo náměstí
2026-04-14 17:00:36 | END   | Jármű: 7704 | Vonal: 66 | Cél: Halasovo náměstí
2026-04-14 17:00:36 | START | Jármű: 7704 | Vonal: 57 | Cél: Lesná, Haškova
2026-04-14 17:06:37 | END   | Jármű: 7704 | Vonal: 57 | Cél: Lesná, Haškova
2026-04-14 17:06:37 | START | Jármű: 7704 | Vonal: 46 | Cél: Erbenova
2026-04-14 17:40:16 | END   | Jármű: 7704 | Vonal: 46 | Cél: Erbenova
2026-04-14 17:40:16 | START | Jármű: 7704 | Vonal: 46 | Cél: Lesná, Haškova
2026-04-14 17:54:19 | END   | Jármű: 7704 | Vonal: 46 | Cél: Lesná, Haškova
2026-04-14 17:54:19 | START | Jármű: 7704 | Vonal: 57 | Cél: Halasovo náměstí
2026-04-14 18:01:51 | END   | Jármű: 7704 | Vonal: 57 | Cél: Halasovo náměstí
2026-04-14 18:01:51 | START | Jármű: 7704 | Vonal: 66 | Cél: Lesná, Haškova
2026-04-14 18:09:23 | END   | Jármű: 7704 | Vonal: 66 | Cél: Lesná, Haškova
2026-04-14 18:09:23 | START | Jármű: 7704 | Vonal: 66 | Cél: Halasovo náměstí
2026-04-14 18:20:55 | END   | Jármű: 7704 | Vonal: 66 | Cél: Halasovo náměstí
2026-04-14 18:20:55 | START | Jármű: 7704 | Vonal: 57 | Cél: Lesná, Haškova
