2026-04-14 15:23:46 | START | Vehicle: 21882 | Direction: 530 | Location: {'lat': 48.878979, 'lon': 16.537371}
2026-04-14 15:35:33 | START | Jármű: 21882 | Vonal: 530 | Cél: Vranovice, ž.s.
2026-04-14 15:46:07 | END   | Jármű: 21882 | Vonal: 530 | Cél: Vranovice, ž.s.
2026-04-14 15:46:07 | START | Jármű: 21882 | Vonal: 530 | Cél: Drnholec
2026-04-14 15:59:41 | END   | Jármű: 21882 | Vonal: 530 | Cél: Drnholec
2026-04-14 16:14:09 | START | Jármű: 21882 | Vonal: 530 | Cél: Drnholec
2026-04-14 16:22:56 | START | Jármű: 21882 | Vonal: 530 | Cél: Drnholec
2026-04-14 16:45:32 | END   | Jármű: 21882 | Vonal: 530 | Cél: Drnholec
2026-04-14 16:45:32 | START | Jármű: 21882 | Vonal: 530 | Cél: Vranovice, ž.s.
2026-04-14 16:57:05 | END   | Jármű: 21882 | Vonal: 530 | Cél: Vranovice, ž.s.
2026-04-14 17:02:36 | START | Jármű: 21882 | Vonal: 530 | Cél: Vranovice, ž.s.
2026-04-14 17:46:47 | END   | Jármű: 21882 | Vonal: 530 | Cél: Vranovice, ž.s.
2026-04-14 17:46:47 | START | Jármű: 21882 | Vonal: 530 | Cél: Ivaň
2026-04-14 17:56:50 | END   | Jármű: 21882 | Vonal: 530 | Cél: Ivaň
2026-04-14 18:01:51 | START | Jármű: 21882 | Vonal: 530 | Cél: Ivaň
2026-04-14 18:12:53 | END   | Jármű: 21882 | Vonal: 530 | Cél: Ivaň
2026-04-14 18:13:24 | START | Jármű: 21882 | Vonal: 530 | Cél: Ivaň
2026-04-14 18:26:27 | END   | Jármű: 21882 | Vonal: 530 | Cél: Ivaň
