2026-04-14 15:23:46 | START | Vehicle: 21455 | Direction: 201 | Location: {'lat': 49.203407, 'lon': 16.636707}
2026-04-14 15:35:33 | START | Jármű: 21455 | Vonal: 201 | Cél: Křtiny, náměstí
2026-04-14 16:06:43 | END   | Jármű: 21455 | Vonal: 201 | Cél: Křtiny, náměstí
2026-04-14 16:06:43 | START | Jármű: 21455 | Vonal: 201 | Cél: Židenice, nádraží
2026-04-14 16:10:08 | START | Jármű: 21455 | Vonal: 201 | Cél: Židenice, nádraží
2026-04-14 16:22:56 | START | Jármű: 21455 | Vonal: 201 | Cél: Židenice, nádraží
2026-04-14 16:40:01 | END   | Jármű: 21455 | Vonal: 201 | Cél: Židenice, nádraží
2026-04-14 16:40:01 | START | Jármű: 21455 | Vonal: 201 | Cél: Křtiny, náměstí
2026-04-14 16:51:04 | END   | Jármű: 21455 | Vonal: 201 | Cél: Křtiny, náměstí
2026-04-14 16:53:34 | START | Jármű: 21455 | Vonal: 201 | Cél: Křtiny, náměstí
2026-04-14 17:44:17 | END   | Jármű: 21455 | Vonal: 201 | Cél: Křtiny, náměstí
2026-04-14 17:44:17 | START | Jármű: 21455 | Vonal: 201 | Cél: Židenice, nádraží
2026-04-14 18:27:27 | END   | Jármű: 21455 | Vonal: 201 | Cél: Židenice, nádraží
2026-04-14 18:27:27 | START | Jármű: 21455 | Vonal: 201 | Cél: Habrůvka
