2026-03-30 14:09:53 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:14:53 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:20:23 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:25:53 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:31:23 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:36:53 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:45:53 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-03-30 14:51:23 - ID 25602 - Vonal 301 - Kunštát, nám.
2026-04-10 11:54:31 - ID 30110 - Vonal 301 - Královo Pole, nádraží
2026-04-10 11:59:55 - ID 30110 - Vonal 301 - Královo Pole, nádraží
