2026-03-30 13:14:23 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:19:53 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:25:22 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:30:22 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:35:22 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:40:23 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:45:23 - ID 80408 - Vonal 802 - Znojmo, Nemocnice
2026-03-30 13:50:23 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 13:55:53 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:11:52 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:16:53 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:22:23 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:27:23 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:32:23 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:37:23 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:42:52 - ID 80408 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:48:23 - ID 80408 - Vonal 803 - Znojmo, Nemocnice
