2026-03-30 12:07:53 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:13:23 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:18:23 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:23:53 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:28:53 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:34:23 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:39:23 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:44:52 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:49:53 - ID 14233 - Vonal S42 - Zastávka, žel.st.
2026-03-30 12:54:53 - ID 14233 - Vonal S42 - Zastávka, žel.st.
