2026-03-30 13:37:22 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 13:42:23 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 13:47:23 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 13:52:53 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 13:58:23 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 14:03:52 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 14:08:53 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 14:14:23 - ID 13201 - Vonal S51 - Šakvice, žel.st.
2026-03-30 14:19:23 - ID 13201 - Vonal S51 - Šakvice, žel.st.
