2026-03-30 11:49:52 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 11:54:52 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:00:22 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:05:52 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 12:10:52 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 13:16:52 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 13:21:52 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 13:27:22 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 13:32:52 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 13:37:52 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:42:52 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:05:52 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:10:52 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:15:53 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:20:53 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:26:23 - ID 21004 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:31:53 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:37:23 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:42:52 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:48:23 - ID 21004 - Vonal 210 - Babice n/S, horní zastávka
