2026-03-30 11:49:22 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 11:54:52 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:00:22 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:05:52 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:10:52 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:15:52 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:20:52 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:26:22 - ID 14051 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:31:22 - ID 14051 - Vonal S4 - Zastávka, žel.st.
