2026-03-30 12:18:23 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:23:53 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 12:28:53 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 12:34:23 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 12:39:23 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:44:52 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:16:22 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:21:23 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:26:52 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:32:22 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:37:22 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:42:23 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:04:22 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:09:23 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:14:23 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:19:23 - ID 21003 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:24:53 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:30:23 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:38:23 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:43:52 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:48:53 - ID 21003 - Vonal 210 - Bílovice n/S, žel.st.
